news,class
မစ်ဒယ်ဘရော့နဲ့ကစားရမယ့် FA ဖလားပွဲ၊ အဲဗာတန်နဲ့ ကစားရမယ့် ပရီးမီးယားလိဂ်ပွဲတွေပါ။ ပြီးတော့ ပြင်းပြင်းထန်ထန်ကြိုးစားရင် အိပ်မက်တွေ ဖြစ်လာနိုင်တယ်လို့ ယုံကြည်ပါတယ်''ဟု ပြောကြားခဲ့သည်။,entertainment
အူနိုင်းအမ်မရီသည် ၂၀၂၃ ခုနှစ်အတွင်းတွင် အက်စတွန်ဗီလာအသင်းကို တိုးတက်မှုရှိအောင် စွမ်းဆောင်ပေးနိုင်ခဲ့ပြီး လက်ရှိရာသီ၌ ပရီးမီးယားလိဂ်အမှတ်ပေးဇယားထိပ်ပိုင်းတွင် ရပ်တည်နိုင်အောင်လည်း စွမ်းဆောင်ပေးထားသည်။,entertainment
အာဖရိကနိုင်ငံများဖလားနှင့် အာရှဖလားပြိုင်ပွဲသို့ လက်လွှတ်ရသည့် ကစားသမားများထဲတွင် လီဗာပူးလ်တိုက်စစ်ကစားသမား ဆာလာ၊ စပါးအသင်းခေါင်းဆောင် ဆွန်ဟောင်မင်တို့ကဲ့သို့ ထိပ်တန်းကစားသမားများ ပါဝင်နေသည်။,entertainment
နှစ်ဖက်တိုက်ပွဲမရှိတဲ့ ကယား (ကရင်နီ) ပြည်နယ်၊ ဒီးမော့ဆိုအနောက်ဘက်ခြမ်း ဒေါဆီးအီ နဲ့ လွိုင်နန်းဖ ရွာစာသင်ကျောင်းတွေပေါ် အနည်းဆုံးတိုက်လေယာဉ် ၂ စီးနဲ့ လေကြောင်းကနေ ဗုံးကြဲပစ်ခတ်မှုတွေကြောင့် ကလေးငယ်တွေသေဆုံးတဲ့ဖြစ်စဉ်ကို သူတို့ မလုပ်ဆောင်ခဲ့ဘူးလို့ စစ်ကောင်စီသတင်းထုတ်ပြန်ရေးက ငြင်းဆန်လိုက်ပါတယ်။,politic
၂၀၂၃ခုနှစ်၊ နိုဝင်ဘာ ၆ ရက်နေ့တုန်းက အမျိုးသားညီညွတ်ရေးအစိုးရ(NUG)က ထိန်းချုပ်နိုင်ပြီလို့ ကြေညာခဲ့တဲ့ စစ်ကိုင်းတိုင်းအထက်ပိုင်းက ကောလင်းမြို့ကို ပြန်လည်ထိန်းချုပ်နိုင်ပြီလို့ စစ်ကောင်စီ သတင်းထုတ်ပြန်ရေးအဖွဲ့က ဖေဖော်ဝါရီ ၁၀ ရက်နေ့မှာ ဓာတ်ပုံနဲ့တကွ သတင်းထုတ်ပြန်လာခဲ့ပါတယ်။,politic
မြန်မာပြည်တွင်းမှာ စစ်တပ်အာဏာသိမ်းပြီးတဲ့နောက်ဖြစ်ပေါ်လာတဲ့ နိုင်ငံရေးအကျပ်အတည်းအတွက် အာဆီယံ ဘုံသဘောတူညီချက် ၅ ရပ်ကို ၂၀၂၄ အာဆီယံအလှည့်ကျ ဥက္ကဋ္ဌ လာအိုနိုင်ငံအနေနဲ့ ဘယ်လို ချဥ်းကပ်မလဲဆိုတာ စောင့်ကြည့်ခံရချိန်မှာပဲ အထူးသံရဲ့ မြန်မာပြည်ခရီး ထွက်ပေါ်လာတာဖြစ်ပါတယ်။,politic
“စစ်ပွဲဆက်ပြီး ဖြစ်ပွားနေသရွေ့ ပါလက်စတိုင်းရဲ့ သေရေးရှင်ရေးတမျှဖြစ်နေတဲ့ စီးပွားရေးအလားအလာဟာ ပိုပြီးဆိုးရွားနေမှာဖြစ်တယ်”ဟု IMF ၏ စီမံအုပ်ချုပ်ရေးဆိုင်ရာ ညွှန်ကြားရေးမှူး ခရစ္စတာလီနာ ဂျော်ဂျီဗာက ဒူဘိုင်းတွင်ပြုလုပ်သည့် ကမ္ဘာ့အစိုးရများ၏ ထိပ်သီးညီလာခံ၌ ပြောကြားခဲ့သည်။,politic
ပြည်သူ့စစ်အဖွဲ့များ၊ ဒေသခံကာကွယ်ရေးအဖွဲ့များ ဖွဲ့စည်းပေးရေး တောင်းဆိုနေခြင်း​များကြောင့် ဥပဒေနှင့်ညီညွတ်ပြီး စနစ်ကျသည့် ပြည်သူ့စစ်မှုထမ်းဥပဒေကို ပြဋ္ဌာန်းရခြင်းဖြစ်ကြောင်း နစက ပြောရေးဆိုခွင့်ရှိသူ ပြောကြား,politic
ထိုင်းနိုင်ငံက ဦးဆောင်သော လူသားချင်း စာနာမှုဆိုင်ရာ အကူအညီ အစီအစဉ်သည် မြန်မာနိုင်ငံရှိ ပဋိပက္ခဖြစ်ပွားနေသော အဖွဲ့များအကြား ဆွေးနွေးမှုများကို လမ်းပွင့်စေရန်ရည်ရွယ်သည်ဟု ထိုင်း ဒုတိယနိုင်ငံခြားရေးဝန်ကြီး ပြောကြား,politic
ထိုင်းနိုင်ငံခြားရေးဝန်ကြီး ပရန်ပရီ ဘဟိဒ္ဒ နုကာရဟာ အမေရိကန်နိုင်ငံခြားရေးဝန်ကြီး အန်ထော်နီဘလင်ကန်နဲ့ တနင်္လာနေ့ အမေရိကန်စံချိန်ညနေပိုင်းမှာတွေ့ဆုံခဲ့ပြီး ဒေသတွင်း မြန်မာနိုင်ငံအရေးကိစ္စဟာ ဦးစားပေးဆွေးနွေးမယ့်အကြောင်းအရာတခုဖြစ်မယ်လို့ မျှော်လင့်ရပါတယ်။,politic
ထိုင်း၊ စင်္ကာပူ၊ ဘရူနိုင်း စတဲ့ အာဆီယံနိုင်ငံတွေကို သွားရောက်ပြီး မြန်မာနိုင်ငံဒီမိုကရေစီ ပြန်လည်ရရှိရေး ကိစ္စအပါအဝင်၊ ပြီးခဲ့တဲ့ အာဆီယံ-အမေရိကန် ထိပ်သီးအစည်းအဝေး ဆုံးဖြတ်ချက်တွေကို ဆက်လက် အကာင်အထည်ဖော်ဖို့ ကိစ္စတွေ ဆွေးနွေးခဲ့တဲ့အကြောင်းကို အမေရိကန် နိုင်ငံခြားရေးဝန်ကြီးဌာနကလည်း အဲ့ဒီအချိန်က ထုတ်ပြန်ခဲ့ပါတယ်။,politic
ဥရောပလုံခြုံရေးနဲ့ကာကွယ်ရေး ပူးတွဲဆောင်ရွက်ဖို့ ပိုလန်၊ ပြင်သစ်၊ ဂျာမနီ ကတိပြု,politic
ဂါဇာမှာ လူအမြောက်အများအသတ်ခံနေရချိန်မှာ အစ္စရေးကို လက်နက်ပို့တာရပ်ကြဖို့ ဥရောသမဂ္ဂနိုင်ငံခြားရေး မူဝါဒအကြီးအကဲ Josep Borrell က အစ္စရေးရဲ့မဟာမိတ်တွေ အဓိကအားဖြင့် အမေရိကန်ပြည်ထောင်စုကို တိုက်တွန်းလိုက်ပါတယ်။,politic
မနေ့က ကျင်းပခဲ့တဲ့ အင်ဒိုနီးရှား သမ္မတရွေးကောက်ပွဲ မဲတွေ ရေတွက်နေဆဲအချိန်မှာ အင်ဒိုနီးရှားကာကွယ်ရေးဝန်ကြီး ဗိုလ်ချုပ်ကြီးဟောင်း Prabowo Subianto က ရွေးကောက်ပွဲမှာ သူ အနိုင်ရပြီလို့ အခိုင်အမာ ကြေညာပြောဆိုပါတယ်။,politic
ယူကရိန်းကိုကျူးကျော်တိုက်ခိုက်နေတဲ့ ရုရှားကို စစ်ရေးနည်းပညာ အထောက်အကူပေးနေတယ်လို့ စွပ်စွဲပြီး တရုတ်၊ အိန္ဒိယနဲ့ တူရကီနိုင်ငံတွေမှာ အခြေစိုက်တဲ့ ကုမ္ပဏီ ၂၀ ကို EU ဥရောပသမဂ္ဂက အရေးယူဖို့ လုပ်ဆောင်နေပြီဖြစ်ပါတယ်။,politic
ယူကရိန်း၊ အစ္စရေးနဲ့ ထိုင်ဝမ်တို့ကို ဒေါ်လာ ၉၅ ဘီလီယံ ကူညီပေးမယ့် အဆိုပြုချက်မူကြမ်းကို အမေရိကန် အထက်လွှတ်တော်မှာ မနေ့ညက ညလုံးပေါက် ဆွေးနွေးပြီး အတည်ပြုပေးလိုက်ပါပြီ။,politic
ထောင်ဒဏ်တနှစ် ပြစ်ဒဏ်ချမှတ်ခံထားတဲ့ ထိုင်းဝန်ကြီးချုပ်ဟောင်း သက်ဆင် ရှင်နာဝပ်ဟာ ၆ လ အချုပ်ခံရပြီး ခံဝန်ချက်နဲ့ ပြန်လွှတ်ပေးမယ့်အကြောင်း ထိုင်းအစိုးရက ဒီကနေ့ပဲ ကြေညာလိုက်ပါတယ်။,politic
နယ်သာလန်နိုင်ငံက တင်ပို့တဲ့ F-35 အစိတ်အပိုင်းတွေကို ကြီးလေးတဲ့ နိုင်ငံတကာ လူ့အခွင့်အရေး ချိုးဖောက်မှုတွေ ကျုးလွန်ရာမှာ အသုံးချနိုင်တဲ့ အန္တရာယ်ရှိတယ်ဆိုတာ ထင်ရှားတယ်လို့လည်း တရားရုံးက ပြောပါတယ်။,politic
မြန်မာနိုင်ငံထဲ စစ်ပွဲတွေပြင်းထန်လာချိန် လူသားချင်းစာနာမှုအကူအညီပေးရေး ဦးစားပေးဆောင်ရွက်မယ်လို့ ပြောထားတဲ့ ထိုင်းနိုင်ငံခြားရေးဝန်ကြီးလဲဖြစ် ဒုဝန်ကြီးချုပ်လည်းဖြစ်တဲ့ Parnpree Bahindra-Nukara နဲ့ အမေရိကန်နိုင်ငံခြားရေးဝန်ကြီး Antony Blinken တို့ ဝါရှင်တန်မြို့တော်မှာ တွေ့ဆုံ ဆွေးနွေးကြမှာဖြစ်ပါတယ်။,politic
ပါကစ္စတန်နိုင်ငံမှာ ဖေဖော်ဝါရီ ၈ ရက်၊ ကြာသပတေးနေ့က ကျင်းပခဲ့တဲ့ ရွေးကောက်ပွဲမှာ အကျဉ်းကျခံနေရတဲ့ ဝန်ကြီးချုပ်ဟောင်း Imran Khan ကို ထောက်ခံတဲ့ ကိုယ်စားလှယ်လောင်းတွေက အသာစီးရနေပါတယ်။,politic
ဝန်ကြီးချုပ်ဟောင်း Khan ရဲ့ အတိုက်အခံပါတီကိုယ်စားလှယ်တွေ ဝင်ပြိုင်ခွင့် ကန့်သတ်ခံခဲ့ရပြီး တင်းမာမှုတွေ ဖြစ်ပေါ်နေတဲ့ ဒီရွေးကောက်ပွဲကို မိုဘိုင်းဖုန်းနဲ့ အင်တာနက်တွေ ဖြတ်တောက်ပြီး ကျင်းပခဲ့တာမှာ၊ လက်ရှိ အမတ်နေရာ ၁၀၀ ကျော်ရေတွက်အပြီး နေရာ၅၀ နီးပါးကို အတိုက်အခံတွေ အနိုင်ရထားပါတယ်။,politic
ကမ္ဘာမှာ ငြိမ်းချမ်းရေးကင်းမဲ့နေပြီး အာဏာပိုင်ဝါဒ ခေါင်းထောင်လာသလို ရပ်ရွာ အသိုက်အဝန်းတွေအတွင်းမှာလည်း အမုန်းတွေတိုးများလာနေတယ်လို့ ကုလသမဂ္ဂ အတွင်းရေးမှူးချုပ်က အထွေထွေညီလာခံမှာ ပြောလိုက်ပါတယ်။ ,politic
တောင်နဲ့ မြောက်ကိုရီးယား နှစ်နိုင်ငံ ဆက်ဆံရေး ဆုတ်ယုတ်ကျဆင်းနေချိန်မှာပဲ တောင်ကိုရီးယားနိုင်ငံနဲ့ စီးပွားရေး ပူးပေါင်းဆောင်ရွက်တဲ့ သဘောတူညီချက် အားလုံးကို ပယ်ဖျက်လိုက်တဲ့အကြောင်း မြောက်ကိုရီးယား ပြည်သူ့ လွှတ်တော်ရဲ့ အမြင့်ဆုံး အာဏာပိုင်အဖွဲ့က ဒီကနေ့ ဖေဖော်ဝါရီ ၈ ရက်နေ့မှာ ဆုံးဖြတ်လိုက်တဲ့အကြောင်း မြောက်ကိုရီးယား အစိုးရပိုင် KCNA သတင်းမှာ ဖော်ပြပါတယ်။,politic
မြန်မာနိုင်ငံမှာ ဒီမိုကရေစီအသွင်ကူးပြောင်းရေးနဲ့ အရပ်သားအစိုးရအုပ်ချုပ်ရေးလမ်းဆီပြန်ရောက်ဖို့ နိုင်ငံတကာနဲ့ ဒေသတွင်းနိုင်ငံတွေရဲ့ ရေရှည် အလေးထား ကူညီမှု အမြန်ဆုံးလိုအပ်နေတယ်လို့ ပြောကြားသွားတာဖြစ်ပါတယ်။စစ်ပွဲတွေကြောင့် အိုးအိမ်စွန့်ထွက်ပြေးနေကြသူတွေဟာ ငြိမ်းချမ်းရေးကို အင်မတန်လိုလားတောင့်တနေကြတာမို့ သူတို့ရဲ့ ဆန္ဒကိုနားထောင် ဆောင်ရွက်ပေးဖို့ လိုအပ်တယ်,politic
အိန္ဒိယနဲ့ မြန်မာနှစ်နိုင်ငံ နယ်ခြား နယ်စပ်တဘက်တချက်မှာ နေထိုင်တဲ့ ပြည်သူတွေ ၁၆ ကီလိုမီတာ ပတ်လည်အတွင်းပြည်ဝင်ခွင့်မလိုဘဲ လွတ်လွတ်လပ်လပ်သွားလာနိုင်တဲ့ ခွင့်ပြုချက်ကို ချက်ခြင်း ပြန်ရုပ်သိမ်းဖို့ ထောက်ခံအဆိုပြုတဲ့အကြောင်း အိန္ဒိယ ပြည်ထဲရေးဝန်ကြီး Amit Shah က ဒီနေ့ ကြေညာပါတယ်,politic
ရွေးကောက်ပွဲအကြို လူထုသဘောထား စစ်တမ်းတွေမှာလည်း ထောက်ခံမှု အများစုရထားတဲ့ ကာကွယ်ရေးဝန်ကြီး ဆူဘီရန်တိုဟာ အာဏာရှင်ခေါင်းဆောင်ဟောင်း ဆူဟာတို လက်ထက်မှာ အထူးတပ်ဖွဲ့တပ်မှူးတဦးအဖြစ် တာဝန်ယူခဲ့ဖူးသူဖြစ်သလို၊ လူကြိုက်များတဲ့ လက်ရှိသမ္မတ ဂျိုကိုဝီဒိုဒို နဲ့ ရင်းနှီးသူလည်း ဖြစ်ပါတယ်။,politic
သမ္မတရွေးကောက်ပွဲမှာ အပြတ်အသတ် အနိုင်ရဖို့ကတော့ မဲအားလုံးရဲ့ ၅၀ ရာခိုင်နှုန်းကျော် ရရှိဖို့ လိုအပ်သလို၊ ပြည်နယ်အသီးသီးမှာလည်း အနည်းဆုံး ၂၀ ရာခိုင်နှုန်းကျော် ရရှိဖို့ လိုပါတယ်။ အင်ဒိုနီးရှားနိုင်ငံအနှံ့ ဒီကနေ့ ရွေးကောက်ပွဲကတော့ ပြဿနာ တစုံတရာ မရှိပဲ အဆုံးသတ်ခဲ့တာပါ။,politic
အမေရိကန်အထက်လွှတ်တော်က ဘယ်လို ဆုံးဖြတ်လုပ်ဆောင်မယ်ဆိုတာကို တကမ္ဘာလုံးက စောင့်ကြည့်နေကြကြောင်းလည်း ပြောပါတယ်။ အခု အဆိုပြုထားတဲ့ အကူအညီပေးရေး ဥပဒေ မူကြမ်းထဲမှာ ယူကရိန်းအတွက် ဒေါ်လာ ၆၁ ဘီလီယံ၊ အစ္စရေးအတွက် ၁၄ ဘီလီယံနဲ့ ထိုင်ဝမ်ကျွန်းအပါအဝင် အင်ဒို-ပစိဖိတ်ဒေသနဲ့ တခြားနေရာတွေကို ကူညီဖို့အတွက် ၅ ဘီလီယံ အသီးသီး ပါဝင်ပါတယ်။,politic
ထိုင်းနိုင်ငံ ချွန်ဘူရီမြို့တွင် ဆိုင်ကယ်နှင့် ဘတ်စ်ကား တိုက်မိပြီး ဆိုင်ကယ်စီးနင်းလာသူ မြန်မာလုပ်သားတစ်ဦး သေဆုံး,crime
မုဒုံမြို့နယ် ကော့ခပုံကျေးရွာ သံဖြူဇရပ် - မော်လမြိုင် ကားလမ်းတွင်  ကြို/ပို့ မော်တော်ယာဉ်တစ်စီး တိမ်းမှောက်မှု ဖြစ်ပွားခဲ့ပြီး တက္ကသိုလ် ကျောင်းသား ကျောင်းသူ ၁၃ ဦး ဒဏ်ရာရရှိ,crime
စစ်ကောင်စီရဲ့ လေကြောင်းတိုက်ခိုက်မှုတွေဟာ ၂၀၂၃ ခုနှစ် စက်တင်ဘာ ကနေ ဒီဇင်ဘာ ကာလအတွင်းမှာ အကြိမ်ပေါင်း ၇၅၀ ရှိခဲ့ပြီး သေဆုံးသူအရပ်သား ၂၄၉ ယောက်နဲ့ ဒဏ်ရာရသူ ၄၂၀ ရှိတယ်လို့ သုတေသနအဖွဲ့တစ်ခုဖြစ်တဲ့ ဉာဏ်လင်းသစ်အဖွဲ့က မနေ့က ထုတ်ပြန်ပါတယ်။,crime
စိတ်ကူးသစ်တည်းခိုခန်း လူသတ်မှုဖြစ်စဉ်မှ တရားစွဲခံထားရသူ ငါးဦးအား လူသတ် အလောင်းဖျောက်မှု ပုဒ်မများဖြင့် အနောက်ပိုင်းခရိုင် တရားရုံးတွင် အသီးသီးစွဲချက်တင်,crime
ရန်ကုန်မြို့တွင် စိတ်ကြွမူးယစ် ဆေးပြားများ စံချိန်တင် စစ်ဆေးတွေ့ရှိခဲ့သည့် ဖြစ်စဉ်များနှင့် ဆက်နွှယ်သူ ၁၂ ဦးအနက် တစ်ဦးအား မြဝတီနယ်စပ်တွင် ဖမ်းဆီးရမိဟု သိရ,crime
ရှမ်းပြည်နယ်မှ ကချင်ပြည်နယ်သို့ သယ်ဆောင်ရောင်းဝယ်မည့် ကျပ် ၄ ဒသမ ၉၄၅ ဘီလျံခန့်တန်ဖိုးရှိ စိတ်ကြွရူးသွပ်ဆေးပြားများနှင့် ဘိန်းဖြူများ မန္တလေးမြို့၌ ဖမ်းဆီးရမိ,crime
ပဲခူးမြို့နယ် ပဲခူး-သနပ္ပင်လမ်းဆုံတွင် DSRB အမည်ရှိ အဖွဲ့တစ်ဖွဲ့မှ အဖွဲ့ဝင်ခြောက်ဦးကို ၁၀၇ မမရှော့တိုက်ဒုံး ၁၀ လုံး၊ ၄၀ မမ လက်လုပ်ဗုံးပစ် လောင်ချာတစ်လက်နှင့်အတူ ဖမ်းဆီးရမိ,crime
ရဲတပ်ဖွဲ့ဝင်နှစ်ဦးကို သတ်ခဲ့သည့် တင်မြင့်အား တောင်ပိုင်းခရိုင် တရားရုံး၌ ဒုတိယအကြိမ် ရုံးထုတ်ခဲ့ပြီး တရားလိုနှင့် တရားလိုပြ သက်သေနှစ်ဦးအား စစ်ဆေး,crime
မရမ်းကုန်းမြို့နယ်ရှိ ဘားတစ်ခုတွင် အသံဗုံးဟု ယူဆရသည့် ပေါက်ကွဲမှုဖြစ်ပွား ,crime
လူသတ်အလောင်းဖျောက်မှုနှင့်ပတ်သက်ပြီး တရုတ်နိုင်ငံသား ခုနစ်ဦးအား ကိုးကန့် ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသတရားရုံးက ထောင်ဒဏ်အသီးသီးချမှတ်,crime
မူးယစ်ဆေးဝါးမှုဖြင့် ဖမ်းဆီးခံထားရသည့် ဟစ်ဟော့အဆိုတော် X-Box နှင့် ၎င်း၏ သူငယ်ချင်းသုံးဦးကို စက်တင်ဘာ  ၁၄ ရက်က ဗဟန်းမြို့နယ် တရားရုံးတွင် ဆက်လက်ရုံးထုတ်၍ ချုပ်ရက်ရမန်ထပ်ယူခဲ့သည်။,crime
ရဲတပ်သားတစ်ဦးနှင့် တည်းခိုခန်း တစ်ခု၌ အတူတည်းခို နေထိုင်စဉ် သေဆုံးသွားသည့် အမျိုးသမီးတစ်ဦး၏ ဖြစ်စဉ်အား စုံ/ခုံဖွဲ့ စစ်ဆေးရန် စီစဉ်လျက်ရှိကြောင်း ရန်ကုန်တိုင်းဒေသကြီး ရဲတပ်ဖွဲ့မှူးရုံးမှ စုံစမ်းသိရသည်။,crime
မန္တလေးမြို့၌ လူသတ်၍ အလောင်းစွန့်ပစ်မှု ဆက်တိုက် ဖြစ်ပွားနေပြီး အမျိုးသားတစ်ဦး၏ အလောင်းကို ခရီးဆောင်အိတ်အတွင်း ထည့်ကာ ရန်ကင်းတောင် အတက်လမ်း နံဘေးတွင် စွန့်ပစ်မှုဖြစ်ပွား,crime
နေပြည်တော် ကောင်စီ နယ်မြေ ဒက္ခိဏသီရိမြို့နယ်တွင် ခင်ပွန်းဖြစ်သူအား သတ်၍ ဇနီးသည်အား အဓမ္မပြုကျင့်ခဲ့သူ လေးဦး အနက်မှ နှစ်ဦးအား ဖမ်းဆီး ရမိထားကြောင်း သတင်းရရှိသည်။,crime
